eco	family	variation	epd	pgn	move_count	eval	master_games	master_white_win	master_black_win	master_draw	lichess_games	lichess_white_win	lichess_black_win	lichess_draw
A00	Amar Opening		rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -	1. Nh3	1	-0.57	26	30.76923076923077	26.923076923076923	42.30769230769231	548426	42.745967550772576	51.94957934160671	5.304453107620718
A00	Amar Opening	Paris Gambit	rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -	1. Nh3 d5 2. g3 e5 3. f4	5	-0.96	0	0.0	0.0	0.0	9985	46.439659489233854	49.71457185778668	3.8457686529794692
A00	Amar Opening	Paris Gambit, Gent Gambit	rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3	11	-1.18	0	0.0	0.0	0.0	203	43.84236453201971	47.783251231527096	8.374384236453201
A00	Amsterdam Attack		r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	8	0.15	0	0.0	0.0	0.0	4722	49.95764506565015	46.23041084286319	3.8119440914866582
A00	Anderssen's Opening		rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -	1. a3	1	-0.11	740	29.864864864864867	30.405405405405407	39.729729729729726	2541943	47.311918481256264	47.773533867596555	4.914547651147173
A00	Anderssen's Opening	Polish Gambit	rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -	1. a3 a5 2. b4	3	-1.03	0	0.0	0.0	0.0	4952	42.26575121163167	49.97980613893376	7.754442649434572
A00	Barnes Opening		rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -	1. f3	1	-0.75	12	25.0	50.0	25.0	2101671	41.8855282296801	53.69241903228431	4.422052738035592
A00	Barnes Opening	Fool's Mate	rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -	1. f3 e5 2. g4 Qh4#	4	#-0	0	0.0	0.0	0.0	0	0.0	0.0	0.0
A00	Barnes Opening	Gedult Gambit	rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -	1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3	7	-0.76	0	0.0	0.0	0.0	879	46.64391353811149	49.14675767918089	4.2093287827076225
A00	Barnes Opening	Gedult Gambit	rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -	1. f3 f5 2. e4 fxe4 3. Nc3	5	0.11	0	0.0	0.0	0.0	2630	53.30798479087453	42.9277566539924	3.76425855513308
